country,oil,electricity,coal,natural_gas,biofuel
Albania,26.31,6.5,428.43,1.79,2.63
Jamaica,49.49,3.37,71.65,23.48,
Armenia,14.07,7.39,25.69,101.04,
Qatar,296.63,51.08,,1466.09,
Botswana,21.09,3.7,2525.92,,
Lithuania,66.11,11.23,273.26,56.55,2.38
Namibia,24.66,3.43,34.97,,
Gabon,15.88,2.5,,16.35,
Lesotho,5.36,0.83,,,
Guinea-Bissau,2.34,0.08,,,
Slovenia,53.03,13.08,2783.62,29.7,1.48
North Macedonia,22.15,5.79,6365.84,9.71,
Latvia,35.46,5.98,21.9,29.25,0.49
Equatorial Guinea,6.17,1.33,,53.13,
Trinidad and Tobago,32.47,8.98,,561.97,
Bahrain,71.63,34.52,,632.99,
Timor-Leste,4.18,0.41,,,
Estonia,30.68,7.48,3.31,12.53,
Mauritius,25.11,3.29,639.34,,
Cyprus,44.69,5.02,58.1,,0.18
Eswatini,6,1.34,137.18,,
Djibouti,4.4,0.52,,,
Fiji,8.54,0.94,,,
Comoros,2.58,0.11,,,
Guyana,16.49,0.9,,0.14,
Bhutan,3.49,9.75,246.17,,
Solomon Islands,2.14,0.09,,,
Macau,12.28,5.58,,4.25,
Luxembourg,50.09,6.12,67.38,20.99,
Suriname,14.88,1.85,,0.25,
Montenegro,7.89,2.96,1672.43,,
Cape Verde,4.49,0.33,,,
Western Sahara,1.81,,,,
Malta,46.35,2.79,,14.12,0.27
Maldives,14.08,0.82,,,
Brunei,17.02,5.24,1326.08,154.47,
Belize,5.06,0.44,,,
Bahamas,22.3,2.02,,0.49,
Iceland,20.45,19.3,191.27,,0.8
Martinique,12.59,,,,
Vanuatu,1.68,0.07,,,
French Polynesia,6.1,0.65,,,
New Caledonia,15.57,2.67,1116.26,,
Barbados,8.73,1.02,,0.56,
Sao Tome and Principe,1.08,0.1,,,
Samoa,2.22,0.18,,,
Saint Lucia,4.27,0.36,,,
Guam,11.51,1.66,,,
Kiribati,0.53,0.03,,,
Grenada,2.5,0.22,,,
Micronesia,1.21,,,,
Tonga,0.94,0.07,,,
Seychelles,5.53,0.57,,,
Aruba,7.87,0.81,,,
Saint Vincent and the Grenadines,1.8,0.16,,,
United States Virgin Islands,16.03,0.63,,,
Antigua and Barbuda,5.08,0.32,,,
Dominica,1.16,0.16,,,
Cayman Islands,4.8,0.7,,,
Bermuda,3.68,0.58,,,
Greenland,3.72,0.56,,,
Faroe Islands,5.21,0.39,,,
Saint Kitts and Nevis,1.8,0.18,,,
Turks and Caicos Islands,1.67,0.25,,,
American Samoa,2.58,0.16,,,
Gibraltar,83.65,0.24,,2.68,
Cook Islands,0.57,0.04,,,
Nauru,0.47,0.04,,,
Saint Pierre and Miquelon,0.43,0.05,,,
Montserrat,0.19,0.01,,,
Falkland Islands,0.25,0.02,,,
Niue,0.06,,,,
